"kv12","101111ha006.jpg","A II 1405","HISTORIA; 1300-luku; Ruotsi; KIRJALLINEN AIHE; Topelius; Yhdeksän hopearahaa; KOHTAUS; kuningatar; Blanka Namurilainen; Mauno Liehakon puoliso; prinssi; Haakon; äiti ja lapsi; laulaminen; INTERIÖÖRI; linna;  karhuntalja; lipas; käsityö; kaappi","öljy kankaalle","öljy, kangas","97","76","","",""
"kv24","a0027600.jpg","A I 212","Aihe Kaarle herttuan ja Sigismundin välisestä sodasta 1597, jolloin Ebba Stenbock puolisonsa Klaus Flemingin kuoleman jälkeen oli luovuttanut Turun linnan herttualle, joka vihoissaan antoi avata Flemingin ruumisarkun ja tarttui kuollutta vastustajaansa partaan. ; HISTORIA; Ruotsi-Suomen historia; 1597; KOHTAUS; sargofagi; ruumis; Klaus Fleming; Kaarle herttua; herjaaminen; naiset; Ebba Stenbock, Flemingin leski; Sigrid Stålarm; linnanpalvelija; sotilaat; interiööri; Turun linna; vaakunakilpi; suruharso; krusifiksi","öljy kankaalle","öljy, kangas","157","202","","","159"
"kv25","a0027700.jpg","A I 213","MUOTOKUVA; nainen; vanhus; Tajta; palvelija; puolivartalo; pärekori; maisema; ruohikko; tupa; metsä; syyskesä","öljy kankaalle","öljy, kangas","83","61","","Finlands Nationalgalleri","372"
"kv29","a0028800.jpg","A I 217","KOHTAUS; kansankuvaus; naiset; vanhukset; väkijoukko; keskustelu; kansanpuvut; nyytti; kirkonmäki; kirkon kivijalka; Ruokolahti; Karjala; sunnuntai","öljy kankaalle","öljy, kangas","130","159","","Finlands Nationalgalleri","528"
"kv31","a0126700.jpg","A I 536","HENKILÖKUVA ; nainen ; Virginie ; polvikuva ; lepäävä ; kirja ; sohva ; silkkiverho ; tyyny ; huonekasvi","öljy kankaalle","öljy, kangas","81","100","","","89"
"kv32","a0126800.jpg","A I 537","HENKILÖKUVA; nainen; Thérèse Lainville; pariisitar; kokovartalo; sateenvarjo; interiööri; ateljee; sohva; tyyny; verho; Pariisi; naamio","öljy kankaalle","öljy, kangas","55","43","","Finlands Nationalgalleri","448"
"kv35","a0155000.jpg","A I 754:104","","tussilaveeraus. valkoiset korosteet","tussi ja valkoinen peiteväri, paperi","","","","",""
"kv36","a0155100.jpg","A I 754:105","","tussilaveeraus, valkoiset korosteet","tussi ja valkoinen peiteväri, paperi","","","","",""
"kv37","a0155400.jpg","A I 754:108","KIRJALLINEN AIHE; Runeberg; Vänrikki Stoolin tarinat; Porilaisten marssi; KOHTAUS; marssi; rumpalit; rummut; sotilaat, poltettu kylä","hiili, vesiväri ja guassi","hiili, vesiväri, guassi, paperi","","","","",""
"kv38","a0157000.jpg","A I 754:122","","","tussi ja valkoinen peiteväri, paperi","","","","",""
"kv39","a0164000.jpg","A I 754:185","","tussi ja valkoinen peiteväri","tussi, valkoinen peiteväri, paperi","","","","",""
"kv40","a0164600.jpg","A I 754:190","KIRJALLINEN AIHE; Runeberg; Vänrikki Stoolin tarinat; Kuormarenki-runo; KOHTAUS; kuormasto; hevoset; marssi; Spelt; kuorman päällä makaaminen; MAISEMA; tie; metsä; talvi","laveeraus (tekniikka), tussilaveeraus, valkoinen peiteväri","tussi, valkoinen peiteväri, paperi","","","","",""
"kv42","a0172300.jpg","A I 754:44","","","tussi, paperi","","","","",""
"kv43","a0174200.jpg","A I 754:10","","tussilaveeraus, valkoinen peiteväri","tussi ja valkoinen peiteväri, paperi","","","","",""
"kv44","a0174500.jpg","A I 754:63","","","tussi ja valkoinen peiteväri, paperi","","","","",""
"kv46","a0178001.jpg","A I 754:95","","vesiväri paperille","vesiväri, paperi","","","","",""
"kv47","a0178100.jpg","A I 754:96","","hiili paperille","hiili, paperi","","","","",""
"kv48","a0186400.jpg","A II 1048","FIGUURI; nainen; malli; polvikuva; alaston; lanneverho","öljy kankaalle","öljy, kangas","80","65","","","98"
"kv50","a0208900.jpg","A II 1303","KOHTAUS; jumalanpalvelus","lyijykynä","lyijykynä, paperi","23","26","","Finlands Nationalgalleri",""
"kv51","a0209300.jpg","A II 1307","MUOTOKUVA; nainen; vanhus; tuntematon; talonpoikaisnainen; istuva; polvikuva; kädet ristissä","tussi ja valkoinen peiteväri pahville","tussi, valkoinen peiteväri, pahvi","54","40","","Finlands Nationalgalleri",""
"kv54","a0210700.jpg","A II 1324","FIGUURI ; lapsi ; poika ; kokovartalo ; selin ; avojaloin","mustaliitu","mustaliitu, paperi","47","31","","Finlands Nationalgalleri",""
"kv55","a0214300.jpg","A II 1405","HISTORIA; 1300-luku; Ruotsi; KIRJALLINEN AIHE; Topelius; Yhdeksän hopearahaa; KOHTAUS; kuningatar; Blanka Namurilainen; Mauno Liehakon puoliso; prinssi; Haakon; äiti ja lapsi; laulaminen; INTERIÖÖRI; linna;  karhuntalja; lipas; käsityö; kaappi","öljy kankaalle","öljy, kangas","97","76","","","145"
"kv56","a0214301.jpg","A II 1405","HISTORIA; 1300-luku; Ruotsi; KIRJALLINEN AIHE; Topelius; Yhdeksän hopearahaa; KOHTAUS; kuningatar; Blanka Namurilainen; Mauno Liehakon puoliso; prinssi; Haakon; äiti ja lapsi; laulaminen; INTERIÖÖRI; linna;  karhuntalja; lipas; käsityö; kaappi","öljy kankaalle","öljy, kangas","97","76","","",""
"kv60","a0222600.jpg","A II 1506","MUOTOKUVA; mies; Louis Pasteur; kemisti; biologi; ranskalainen; polvikuva; INTERIÖÖRI; laboratorio; Pasteur-instituutti; Pariisi; mikrobipullo","öljy kankaalle","öljy, kangas","61","51","","Finlands Nationalgalleri","427"
"kv63","a0223500.jpg","A II 1515","KOHTAUS  ;lapset ; pojat ; selin ; leikki ; ranta ; vesi ; Haikko","öljy kankaalle","öljy, kangas","40","33","","Finlands Nationalgalleri",""
"kv64","a0248900.jpg","A II 1707","henkilökuva ; malli ; nainen ; pariisitar ; puolivartalo ; kukka ; tulppaani ; maljakko; sermi","pastelli paperille, kiinnitetty kankaalle","pastelli, paperi","67","54","","Finlands Nationalgalleri","423"
"kv66","a0260800.jpg","A II 819","KOHTAUS; kansankuvaus; hautajaiset; soutuvene; ruumisarkku; naiset; miehet; tyttö; kukkakimppu; Haikon selkä; saaristo; syyskesä ; Uusimaa","öljy kankaalle","öljy, kangas","120","","","Finlands Nationalgalleri","242"
"kv67","a0261300.jpg","A II 835","KOHTAUS ; imettäjät ; lapset ; lastenhoito ; puisto ; hiekkakenttä ; leikkiminen ; Luxenbourgin puisto ; Luxembourgin palatsi ; Pariisi ; Ranska ; kevät","öljy kankaalle","öljy, kangas","142","187","","Finlands Nationalgalleri","458"
"kv71","a0305200.jpg","A III 1755","LAATUKUVA; ranta; Haikon lahti; rantakivet; lapset; pojat; leikki; kaarnalaiva; laivat; kesä, Uusimaa","öljy kankaalle","öljy, kangas","90","108","","Finlands Nationalgalleri","414"
"kv72","a0305201.jpg","A III 1755","LAATUKUVA; ranta; Haikon lahti; rantakivet; lapset; pojat; leikki; kaarnalaiva; laivat; kesä, Uusimaa","öljy kankaalle","öljy, kangas","90","108","","Finlands Nationalgalleri",""
"kv73","a0305500.jpg","A III 1761","MUOTOKUVA; nainen; Anna Sinebrychoff; kauppaneuvoksetar; polvikuva; istuva; silkkipuku; pitsimyssy; koruommel; ompelukehys; käsityö; lankavyyhti; INTERIÖÖRI; huonekasvit; palmut","öljy kankaalle","öljy, kangas","129","105","","Finlands Nationalgalleri","434"
"kv74","a0306800.jpg","A III 1798","nainen ; kukkaistyttö ; puolivartalo ; pöytä ; kukka","pastelli, kiinnitetty kankaalle","pastelli, paperi","82","60","","Finlands Nationalgalleri",""
"kv75","a0307400.jpg","A III 1850","MUOTOKUVA; poika; Alexandre Weissgerber de Stragéwicz; ranskalainen; polvikuva; istuva; pöytä; kirjat","öljy kankaalle","öljy, kangas","","","","Finlands Nationalgalleri","494"
"kv80","a0310900.jpg","A III 1953","MUOTOKUVA ; lapsi ; tyttö ; Berta Edelfelt ; 15-vuotias ;  taiteilijan sisar ; rintakuva ; pitsikaulus ; lierihattu ; parvekkeen kaide ; kallio ; lehtimetsä","öljy kankaalle","öljy, kangas","60","45","","Finlands Nationalgalleri","429"
"kv81","a0311000.jpg","A III 1954","MUOTOKUVA ; tyttö ; Ellen Edelfelt ; taiteilijan sisar ; polvikuva ; istuva ; kasvit ; peikonlehti","öljy kankaalle","öljy, kangas","57","45","","","126"
"kv83","a0311400.jpg","A III 1958","MUOTOKUVA; nainen; vanhus; Fredrika Snygg; Tajta; palvelija; rintakuva; silkkihuivi","öljy kankaalle","öljy, kangas","58","45","","Finlands Nationalgalleri","8"
"kv84","a0311900.jpg","A III 1963","FIGUURI; nainen; talonpoikaisnainen; rintakuva; harava; hartiahuivi","öljy puulle","öljy, puu","40","31","","Finlands Nationalgalleri","505"
"kv87","a0313200.jpg","A III 1976","KOHTAUS; naiset; kahvinjuonti; pöytä; kattaus; käsityö; INTERIÖÖRI; ikkunaverhot","öljy kankaalle","öljy, kangas","48","40","","Finlands Nationalgalleri",""
"kv88","a0313700.jpg","A III 1981","HISTORIA; Suomen sota; KOHTAUS; sotilaat; kädennosto; Suomenlinna; talvi; auringonlasku","öljy kankaalle","öljy, kangas","22","30","","","84"
"kv90","a0314400.jpg","A III 1988","FIGUURI ; nainen ; polvikuva ; rokokoo-puku ; kirjoittaminen ; lipasto ; maljakko ; kukkakimppu","öljy kartongille","öljy, kartonki","30","24","","Finlands Nationalgalleri",""
"kv91","a0314500.jpg","A III 1989","FIGUURI ; nainen ; polvikuva ; lipasto ; kukkakimppu ; veistos","öljy paperille","öljy, paperi","32","21","","Finlands Nationalgalleri",""
"kv92","a0314501.jpg","A III 1989","FIGUURI ; nainen ; polvikuva ; lipasto ; kukkakimppu ; veistos","öljy paperille","öljy, paperi","32","21","","",""
"kv93","a0315200.jpg","A III 1996","KOHTAUS ; leikki ; kaksi poikaa ; selin seisova ; kivellä kyykysssä oleva ;  kaarnalaivan uitto ; ranta ; kivet ; laituri ; Haikko ; Uusimaa","öljy kankaalle","öljy, kangas","23","30","","Finlands Nationalgalleri",""
"kv95","a0317600.jpg","A III 2016","KOHTAUS ; nainen ; silkkipuku ; kirjoittaminen ; kirje ; lipasto","tussi ja vesiväri","tussi, vesiväri","11","8","","Finlands Nationalgalleri",""
"kv99","a0473100.jpg","A IV 2822","RAKENNETTU MAISEMA; puisto; Luxembourgin puisto; Pariisi; Ranska; KOHTAUS; lastenhoito; lapsenhoitajat; lapset; leikki","öljy puulle","öljy, puu","26","35","","Finlands Nationalgalleri",""
"kv100","a8104600.jpg","A II 1637","","lyijykynä","lyijykynä, paperi","50","33","","Finlands Nationalgalleri",""
"kv101","a8400500.jpg","A IV 2809","KIRJALLINEN AIHE; Runeberg; Vänrikki Stoolin tarinat; Wilhelm von Schwerin-runo; KOHTAUS; paarit; Wilhelm von Schwerin; kuoleva; Adlercreutz; upseerit","guassi paperille, grisaille","guassi, paperi","38","30","","",""
"kv103","e0001700.jpg","A III 1973","USKONTO; VT; KOHTAUS; Joosef; veljet; INTERIÖÖRI; palatsi; egyptiläinen","öljy kankaalle","öljy, kangas","46","55","","","164"
"kv104","e0001800.jpg","A II 1511","MUOTOKUVA ; mies ; omakuva ; rintakuva","öljy kankaalle","öljy, kangas","50","41","","","77"
"kv107","e0003900.jpg","A III 1956","MUOTOKUVA; lapsi; tyttö; Berta Edelfelt; taiteilijan sisar; 6-vuotias; rintakuva","öljy kankaalle","öljy, kangas","39","36","","","127"
"kv109","e0004600.jpg","C III B II 225","","puukaiverrus (tekniikka)","","","","","Finlands Nationalgalleri",""
"kv110","e0007800.jpg","A II 1292","KOHTAUS; lastenhoito","lyijykynä ja tussi","lyijykynä, tussi, paperi","13","21","","Finlands Nationalgalleri",""
"kv112","e0008000.jpg","A I 215 F","FIGUURI ; mies ; malli ; alaston ; 2/3 vartalo ; puikko","öljy kankaalle","öljy, kangas","56","40","","",""
"kv116","e0009000.jpg","A III 1997","MAISEMA; meri; Haikon selkä; Uusimaa","öljy kankaalle","öljy, kangas","23","30","","Finlands Nationalgalleri",""
"kv120","e0059000.jpg","A II 1517:39","","","lyijykynä, mustaliitu, hiili, tussi, vesiväri, paperi","15","25","","Finlands Nationalgalleri","722"
"kv133","e0059014.jpg","A II 1517:39","","","lyijykynä, mustaliitu, hiili, tussi, vesiväri, paperi","15","25","","Finlands Nationalgalleri",""
"kv139","e0059501.jpg","A II 1517:29","","","lyijykynä, hiili, mustaliitu, tussi, vesiväri, paperi","23","30","","Finlands Nationalgalleri",""
"kv140","e0059502.jpg","A II 1517:29","","","lyijykynä, hiili, mustaliitu, tussi, vesiväri, paperi","23","30","","",""
"kv143","e0059506.jpg","A II 1517:29","","","lyijykynä, hiili, mustaliitu, tussi, vesiväri, paperi","23","30","","",""
"kv144","e0059507.jpg","A II 1517:29","","","lyijykynä, hiili, mustaliitu, tussi, vesiväri, paperi","23","30","","",""
"kv146","e0059509.jpg","A II 1517:29","","","lyijykynä, hiili, mustaliitu, tussi, vesiväri, paperi","23","30","","",""
"kv149","e0059512.jpg","A II 1517:29","","","lyijykynä, hiili, mustaliitu, tussi, vesiväri, paperi","23","30","","",""
"kv150","e0059513.jpg","A II 1517:29","","","lyijykynä, hiili, mustaliitu, tussi, vesiväri, paperi","23","30","","",""
"kv155","e0059700.jpg","A III 1977","KOHTAUS; vanhahko nainen; taiteilijan sisaret; Annie Edelfelt; Berta Edelfelt; INTERIÖÖRI; piano; (taffelpiano); musiikki; ovi; maisema","öljy kankaalle","öljy, kangas","42","53","","Finlands Nationalgalleri","604"
"kv157","e0060200.jpg","A III 1978","MAISEMA ; ranta ; ranta-aitat ; talo ; metsä ; Hamari ; Porvoon seutu ; Uusimaa","öljy puulle","öljy, puu","17","26","","Finlands Nationalgalleri",""
"kv159","e0064800.jpg","A II 1331","MUOTOKUVA; mies; Karl August Tavaststjerna; kirjailija; runoilija; rintakuva; profiili; lukeminen; tulen valo","pastelli","pastelli","49","33","","Finlands Nationalgalleri","545"
"kv160","e0064900.jpg","A III 2025","MUOTOKUVA ; nainen ; Alexandra Edelfelt ; 1833-1901 ; taiteilijan äiti ; rintakuva","lyijykynä ja vesiväri","lyijykynä ja vesiväri, paperi","","","","",""
"kv161","e0065300.jpg","A II 1509","MUOTOKUVA ; nainen ; Elli Jäppinen ; emäntä ; hieroja ; 44-vuotias ; puolivartalo ; liesi ; pannu ; Immola ; Ruokolahti ; Karjala","öljy kankaalle","öljy, kangas","28","27","","Finlands Nationalgalleri","532"
"kv162","e0065800.jpg","A III 2001","MUOTOKUVA; mies; Adolf Aminoff; kenraaliadjutantti; kreivi; polvikuva; kenraaliluutnantin puku; ritarimerkit; miekankahva; pöydännurkka","öljy kankaalle","öljy, kangas","20","16","","",""
"kv163","e0065900.jpg","A III 1979","kauppias ; venäläinen ; piippu ; lapset","öljy kankaalle","öljy, kangas","22","18","","Finlands Nationalgalleri","732"
"kv165","e0067200.jpg","A III 2021","KIRJALLINEN AIHE; Runeberg; Jouluilta; INTERIÖÖRI; KOHTAUS; naiset; lukeminen; kynttilä; pöytä; Augusta?; kapteenin rouva?","tussi- ja seepialaveeraus","tussi, paperi, seepia","20","16","","Finlands Nationalgalleri","112"
"kv169","e0067600.jpg","A III 2005:3","KOHTAUS ; soutuvene ; soutaminen ; HENKILÖKUVA ; Berta Edelfelt ; taiteilijan sisar ; ranta ; metsä ; Haikko ; Uusimaa","öljy puulle, keskeneräinen","öljy, puu","27","35","","Finlands Nationalgalleri",""
"kv171","e0067900.jpg","A IV 2976","MUOTOKUVA; nainen; vanhus; Anna Sinebrychoff; kauppaneuvoksetar; polvikuva; istuva; hymyilevä; keppi; silkkipuku; pitsimyssy; hartiahuivi; INTERIÖÖRI; Sinebrychoffin salongi; sohva; huonekasvit","öljy kankaalle","öljy, kangas","130","103","","Finlands Nationalgalleri",""
"kv174","e0070600.jpg","A I 215 D","FIGUURI; mies; malli; alaston; kokovartalo; istuva;sivukuva; puoliprofiili; parta; jakkarat","öljy kankaalle","öljy, kangas","81","65","","","104"
"kv176","e0070800.jpg","A III 1982","KOHTAUS; HENKILÖKUVA; Annie Edelfelt; Berta Edelfelt; taiteilijan sisaret; musiikki; piano; (taffelpiano); INTERIÖÖRI; huvila; Haikko","öljy puulle","öljy, puu","32","40","","Finlands Nationalgalleri",""
"kv178","e0071000.jpg","A I 215 E","FIGUURI; mies; malli; alaston; puolivartalo; parta","öljy kankaalle","öljy, kangas","32","28","","","101"
"kv179","e0071100.jpg","A IV 2825","MAISEMA; ranta; meri; niemi; tukit; Haikko; Uusimaa","öljy kankaalle","öljy, kangas","38","61","","Finlands Nationalgalleri","507"
"kv185","e0071800.jpg","A I 580","MUOTOKUVA; mies; Aukusti Uotila; taiteilija; rintakuva; puoliprofiili","öljy kankaalle","öljy, kangas","27","22","","",""
"kv186","e0071900.jpg","A III 1991","MUOTOKUVA; nainen; Augusta Lewenhaupt; kreivitär; polvikuva; istuva; tanssipuku; viuhka","öljy puulle","öljy, puu","24","19","","Finlands Nationalgalleri","521"
"kv189","e0072200.jpg","A I 754:14","KIRJALLINEN AIHE; Runeberg; Vänrikki Stoolin tarinat; KOHTAUS; vänrikki; ylioppilas; kertominen; INTERIÖÖRI; talonpoikaisrakennus; kalaverkot; piiput","öljy kankaalle","öljy, kangas","","","","",""
"kv191","e0072400.jpg","A I 215 C","FIGUURI; mies; vanhahko; malli; alaston; polvikuva; istuva; parta","öljy kankaalle","öljy, kangas","56","47","","","106"
"kv198","e0073100.jpg","A I 754:173","","vesiväri paperille","vesiväri, paperi","","","","",""
"kv217","e0078400.jpg","A I 754:132","","","tussi, paperi","","","","",""
"kv237","e0080600.jpg","A II 1518:29","","lyijykynä paperille","lyijykynä, paperi","32","22","","Finlands Nationalgalleri",""
"kv241","e0081000.jpg","A II 1518:28","","lyijykynä paperille","lyijykynä, paperi","32","23","","Finlands Nationalgalleri",""
"kv246","e0081500.jpg","A II 1518:27","","","lyijykynä, paperi","32","22","","Finlands Nationalgalleri",""
"kv259","e0082900.jpg","A II 1624","","lyijykynä ja mustaliitu","lyijykynä, mustaliitu, paperi","24","24","","",""
"kv260","e0082901.jpg","A II 1624","","lyijykynä ja mustaliitu","lyijykynä, mustaliitu, paperi","24","24","","",""
"kv262","e0084300.jpg","A II 1313","KOHTAUS; pojat; lapset; leikkilaiva; takilointi; leikki; merenranta","lyijykynä","lyijykynä, paperi","29","22","","Finlands Nationalgalleri",""
"kv263","e0084301.jpg","A II 1313","KOHTAUS; pojat; lapset; leikkilaiva; takilointi; leikki; merenranta","lyijykynä","lyijykynä, paperi","29","22","","Finlands Nationalgalleri",""
"kv266","e0084600.jpg","A II 1298","HISTORIA; FIGUURI; Kaarle herttua","lyijykynä","lyijykynä, paperi","20","31","","",""
"kv268","e0084800.jpg","A II 1289","MUOTOKUVA; nainen; tuntematon; istuva; polvikuva","lyijykynä","lyijykynä, paperi","19","12","","Finlands Nationalgalleri",""
"kv269","e0084900.jpg","A II 1290","KOHTAUS; työaihe; käsityö; ompeleminen; tytöt; puolivartalot; ITERIÖÖRI; ikkuna; pöytä","tussi ja guassi paperille","tussi, paperi, guassi","23","29","","Finlands Nationalgalleri",""
"kv270","e0085000.jpg","A II 1304","MUOTOKUVA; nainen; tuntematon; rintakuva","lyijykynä","lyijykynä, paperi","31","22","","Finlands Nationalgalleri",""
"kv273","e0085300.jpg","A II 1288","FIGUURI; ryhmä; poika; lapsi; sylissäpito; paalu; laituri","lyijykynä","lyijykynä, paperi","20","13","","Finlands Nationalgalleri",""
"kv274","e0085400.jpg","A II 1287","FIGUURI; ryhmä; poika; lapsi; kokovartalo; sylissäpito","lyijykynä","lyijykynä, paperi","21","13","","Finlands Nationalgalleri",""
"kv275","e0085500.jpg","A II 1301","FIGUURI; ryhmä; pojat; selin; tukki","lyijykynä","lyijykynä, paperi","24","39","","Finlands Nationalgalleri",""
"kv279","e0085900.jpg","A I 754:133","","","vesi- ja peiteväri, paperi","","","","",""
"kv280","e0086000.jpg","A I 754:135","","","tussi, paperi","","","","",""
"kv281","e0086100.jpg","A I 754:138","","","mustaliitu ja valkoinen peiteväri, paperi","","","","",""
"kv283","e0086300.jpg","A I 754:134","","","tussi, paperi","6","5","","",""
"kv284","e0086400.jpg","A I 754:137","","","tussi, paperi","","","","",""
"kv285","e0087800.jpg","A II 1517:23","","","lyijykynä, hiili, tussi, vesiväri, paperi","","","","",""
"kv286","e0087801.jpg","A II 1517:23","","","lyijykynä, hiili, tussi, vesiväri, paperi","","","","",""
"kv288","e0087803.jpg","A II 1517:23","","","lyijykynä, hiili, tussi, vesiväri, paperi","","","","Finlands Nationalgalleri",""
"kv289","e0087804.jpg","A II 1517:23","","","lyijykynä, hiili, tussi, vesiväri, paperi","","","","",""
"kv290","e0087805.jpg","A II 1517:23","","","lyijykynä, hiili, tussi, vesiväri, paperi","","","","Finlands Nationalgalleri",""
"kv291","e0087806.jpg","A II 1517:23","","","lyijykynä, hiili, tussi, vesiväri, paperi","","","","",""
"kv296","e0095100.jpg","A II 1537","KOHTAUS ; vene ; naise ; Berta Edelfelt (keskituhdolla) ; Annie Edelfelt ; melominen ; MAISEMA ; Haikon selkä ; purjelaivat ; ilta","öljy kankaalle","öljy, kangas","34","41","","Finlands Nationalgalleri","499"
"kv300","e0095700.jpg","A III 1961","KOHTAUS; HENKILÖKUVA; Annie Edelfelt; taiteilijan sisar; koira; kävely; MAISEMA; ranta; polku; kivet; metsä","öljy kankaalle","öljy, kangas","46","58","","Finlands Nationalgalleri","653"
"kv308","e0116200.jpg","A III 2028:228","","lyijykynä","lyijykynä, paperi","29","22","","Finlands Nationalgalleri",""
"kv313","e0117100.jpg","A III 2028:324","","lyijykynä","lyijykynä, paperi","22","21","","",""
"kv314","e0117101.jpg","A III 2028:324","","lyijykynä","lyijykynä, paperi","22","21","","",""
"kv317","e0118400.jpg","A III 2028:217","","lyijykynä","lyijykynä, paperi","39","23","","Finlands Nationalgalleri",""
"kv318","e0118600.jpg","A III 2028:271","","lyijykynä","lyijykynä, paperi","39","23","","Finlands Nationalgalleri",""
"kv319","e0118800.jpg","A-2002-580","KOHTAUS ; naiset ; kävely ; väkijoukko ; MAISEMA ; rantatie ; San Telmo; Sevilla ; Espanja ; taustalla Guadalquivir","öljy pahville","öljy, pahvi","27","33","","Finlands Nationalgalleri","330"
"kv327","e0120200.jpg","A III 2028:274","","lyijykynä","lyijykynä, paperi","35","22","","Finlands Nationalgalleri",""
"kv341","e0121400.jpg","A III 2028:321","","tussi","tussi, paperi","23","37","","",""
"kv342","e0121500.jpg","A III 2028:273","","","lyijykynä, paperi","23","29","","",""
"kv344","e0121800.jpg","A III 2022:3","","tussi- ja vesivärilaveeraus","tussi ja vesiväri, paperi","13","22","","Finlands Nationalgalleri","724"
"kv345","e0121900.jpg","A III 2022:2","","vesivärilaveeraus","vesiväri, paperi","13","22","","Finlands Nationalgalleri","725"
"kv347","e0122300.jpg","A III 2028:295","","tussi","tussi, paperi","21","34","","Finlands Nationalgalleri",""
"kv356","e0126700.jpg","A III 2028:308","","lyijykynä","lyijykynä, paperi","23","38","","Finlands Nationalgalleri",""
"kv357","e0126701.jpg","A III 2028:308","","lyijykynä","lyijykynä, paperi","23","38","","Finlands Nationalgalleri",""
"kv363","e0130300.jpg","A III 2028:296","","hiili","hiili, paperi","24","36","","Finlands Nationalgalleri",""
"kv365","e0130900.jpg","A III 2028:319","","tussi","tussi, paperi","23","37","","",""
"kv380","f0115000.jpg","A-1993-361","","lyijykynä","lyijykynä, paperi","33","27","","",""
